review,sentiment
"1251194332113244161	Come where are all these our celebrities?  All of you should come under here for giveaway @DonaldKaberuka  @mreazi @PeterPsquare make una find me something please  hunger wants to finish me and my people here 😭😭😭😭 @realFemiOtedola https://t.co/Eblv1MvjnB
",0
"1251194332792659971	@IAMDRJLEE is making some FCKING moves - I’m so proud of him !!!
",0
"1251194331924516873	I KINDA EXPECTED THIS BECAUSE OF MAN AND BOSS’ SINGING BUT AAAAACKKKKKKK https://t.co/yHvb8F01MQ
",0
"1251194332738195457	@sass72 @bal4_rednirus @sameold2cents1 @pastexpiry @AlbSeparation @canukcookie @parnel1123 @grafikalrob @rustypenny_wood @JohnMorelli_BC @boscobaby23 @KeithG39663547 @JohnAll63815927 @Ty_Ram1 @allycl17 @GSawision @DawsonMdhoust @JustinSchafer1 @BrenBlake2 @MonicaFibonacci @PLHCrawford @SahamSaler @IceBergMOAB @leighgt @Martyupnorth @sohotitsart @baletown_crawl @WorldPe56580574 @BECCA99564437 @phattyliva @AdamHarryCassi1 @Danbalkwill1 @kayla23307512 @greatrighthope @topshelfmofo @bryan_leblanc @TALBOTGILLES @RickHi2315 @myearwood65 @JustChris2018 @sweetdizzydee @RomanandFil @2dratbil @Owingnut @johnsta04633925 @canadaunited1 @BarbaraAnneW5 @pigBruin @zaphod57 @RonKorkut Not a hope in he'll would any indigenous anywhere vote to leave Canada. You're having a wet dream
",0
"1251194332381622272	When I let go of what I am, I become what I might be. –Lao Tzu #FridayFeeling #StaySafe https://t.co/yjTc7Ep3ai
",0
"1251194332805312512	@realDonaldTrump @POTUS YOU ARE INCITING PEOPLE TO RIOT AGAINST STATE GOVERNMENT. YOU ARE DERANGED 25TH AMENDMENT
",0
"1251194332738093056	@marydarce @david_dmulvaney @ClareDalyMEP @keelingsfruits @LeoVaradkar @simoncoveney @FineGael That would be the photo currently being circulated on social media by all the racists which was actually taken in april 2019 (I.e. last year)......
",0
"1251194332603920385	Here’s last nights mix as featured on @TheReadyDShow via @GoodHopeFM ✅🔥🇿🇦
",0
"1251194332750716933	idek which is worse being an introvert who occasionally needs to talk to another human being or being an introvert who never needs to talk to one.
",0
"1251194332872392704	@EnchantAlchemy You can always try again in 2021.
",0
"1251194332863967234	@realDonaldTrump  you are not going to like what cuomo said today .
",0
"1251194332310355969	#CensusDay #Repost by @COrdazPerez : 🐶 Whiskey wants to remind everyone that today is Census Day! Taking the census couldn’t be any easier too! Fill it out online at https://t.co/gHkPN7up0w or call 844-330-2020.  #iamelpaso #elpasocensus #togetherfearlesswecount #censuschallenge https://t.co/NumhhcHd6t
",0
"1251194331333103617	just the way he's staring at a PICTURE of her so intensely jssjsjsk  #thekingeternalmonarch https://t.co/Hq0R988aEX
",0
"1251194332717219840	BEST SCHEME IN MADDEN 20 - TO WIN IN MADDEN 20 - WITH DENVER BRONCOS - B... https://t.co/PdeDWhedXG via @YouTube
",0
"1251194332805292034	@ParkerMolloy @pattonoswalt Price check on orange douche .... least Canada is smart enough to keep their border closed . Pray they refuse entry to any from these states .
",0
"1251194332545196033	@Hebrews12_2 @KellyHanna1 @RyanBro53766552 @DonTrumpAkbar @HowleyReporter @C0RRUPTI0N_USA How big was that movement? Dont downplay this with a blog. Personally never seen a video or any foilhattheories during my 15 years in this havoc of ideas. Oh well, dont care if that is your choice. https://t.co/dKvzgBHKRw
",0
"1251194332830449667	My grandma got me thinking I have the corona since I started coughing then I notice she was making Chile 🙃
",0
"1251194332071317509	@Hotwomenpromo @jessicarabbitR ❗️SALE only $3.90 for 30 days❗️  🌸limited spots so hurry and sub!🌸  ✨3 free nudes in your inbox ✨daily posts ✨solo play with toys ✨nude photos/videos ✨lingerie pics  ✨&amp; more   https://t.co/JtSGOFb9XY https://t.co/NfAkkdNERk
",0
"1251194332914372611	Gonna go and try to enhance some photos
",0
"1251194332759162883	@caringangel86 @BruceDa03520797 @GovMikeDeWine @LtGovHusted Nobody wants people to die, Tricia!
",0
"1251194332666826754	@LoriMH98 @DanCrenshawTX This is why the media is so dangerous .. they ""weaponize"" news to manipulate ppl like Lori  COVID-19 is far more common, and far less deadly than the hysterical movs have led us to believe. This was always about one thing .. media-driven hysteria https://t.co/R0OgzUFYGP
",0
"1251194332863967232	@RubinReport I used 90% rubbing alcohol to irrigate my dogs ears with a infants nasal sucker bulb. It worked very well . She was cured in 72 Hours. I applied it 2 times per day. 190 proof Everclear is a good substitute.
",0
"1251194331903426560	If you're graduating soon, congratulations! 👨‍🎓👩‍🎓 However, we want to warn you about sharing a little too much on social media. Read more about how #Classof2020 could stay safe from scammers and hackers: https://t.co/881EQZP6nf - #BBB #FraudAlertFriday #InThisTogether https://t.co/AGOCZOCuHK
",0
"1251194332897587203	@realDonaldTrump Has Cuomo publicly thanked Nancy Pelosi for funding the Kennedy Center.??
",0
"1251194336978616320	But I'm very thankful that I am aware of people's #Nasty ways before they get too close 😍
",0
"1251194336898883586	@paigecbrew and i were thinking, the political spectrum is not a straight line. It's a circle. Think about it.
",0
"1251194335997157376	The first award is our freshman/c team award. This award is given to a frosh/c team player who produced in every game &amp; practice and had a very productive season.  This years award winner is Shane Riley  Congratulations Shane! https://t.co/AIw84bQwUF
",0
"1251194336588546048	Quarantine cooking has taken on a life of its own. From hobby to life skill, our collective circumstances forced a sweeping change. In pre-pandemic times, we ate more than half our meals out of the home. Nearly overnight, we started https://t.co/sAAB12PzFb https://t.co/mwD5fgVmOa
",0
"1251194336441745409	@DiMartinoBooth Is it a spike in cases or a spike in testing?  % of daily positive tests is not spiking as would be expected in a pandemic. https://t.co/y7DOVevV3l
",0
"1251194336869482497	@SteveSchmidtSES Basically when TV talk show hosts took over as the vanguard of American intellectual progress.
",0
"1251194336655654914	Because liberals are fucking stupid and they like to feed into that. They’re all just centrists pretending to be leftists.
",0
"1251194336777306117	@ArtemMykhailov Oh thanks Artem! I generally scale XYZ to 2 (in the Zbrush scale panel), that normally works best. I tried with Dynamesh Master like @FredrickAven recommended, but it just froze Zbrush. I probably just didn't have enough RAM to properly dynamesh this model at &gt;3M polys (16Gb).
",0
"1251194336852795394	Afte the Naty it’s a big no thanks
",0
"1251194336840204299	@jasminejunkk like ?? lady no one can see you if you don't go out in public and stick your head in front of an entire video camera
",0
"1251194336819253248	#EndTimeSermon I will ensure l receive the seal of the LORD by living holy life and maintaining my garment
",0
"1251194336873717764	@RGerber420 She is thank you Rebecca. Unfortunately no visitors allowed in the ICU. So I cant visit
",0
"1251194336919855105	I use @TalkU to make FREE calls. #freetext #freechat https://t.co/PDQ3ueldnM
",0
"1251194336894685187	@Gerald96482009 @tlwscorpio @STargayen @thetruth9999999 @CrookedPine @MarionMcquarrie @NYGovCuomo It’s just mirroring Ontario’s and Quebec now,  what you call success,  succesful people see as a disaster.  🤡  lock urself up old man and listen to the government.  🤦‍♂️
",0
"1251194336987025409	@brave7singing @SophHollandCast @WeAudition Just CV’s and headshots in the first instance please!
",0
"1251194336978579456	Me, a Programmer: I'll just do it the way Windows does it!  Coworker, a Linux user: Uh...  Me, a Troll: We like Bill Gates now, he makes vaccines!
",0
"1251194336894730240	I miss him so much 😭
",0
"1251194337016328192	I fell asleep while reading a book then I dreamt that I was in dilemma between should I buy aice or walls
",0
"1251194336932433930	love it that #fetchtheboltcutters is truly speaking to everyone today but kinda stunned at how many of you out there are saying you never really appreciated fiona apple until now. where have you been?! well whatever welcome it's lovely to have you here
",0
"1251194336538251269	@JarrodR13_ @UtdSamm @Dxnbissaka he’s got plenty of game winning goal contributions m8 awb has one👍👍 https://t.co/Y4K7lTG3FS
",0
"1251194336965992449	Please look into making dentist available for the more sever cases. Dentist have a medical obligation just as much as GP’s. I understand folk are awaiting operations etc but abscesses &amp; ulcers can lead to more sever issues like infections/death
",0
"1251194337024790528	The Whole World is on House Arrest w/no Ankle Brace,Lol 😂...How does it Feel?No need for 🔐
",0
"1251194336932433923	@desiringGod “Deliver us these poor helpless creatures of yours from these sorrows we pray...”   This is one of the problem with wrote prayers proliferated to be seen by men: they tend to be of belial, a fact that cannot be denied.   Belial is the worthless one, in case you did not know.
",0
"1251194336911523845	Air China #1062/B-2094 (B77L) departed Kansai Int'l (KIX / RJBB) at 02:02AM JST enroute to Shanghai Pudong Int'l (PVG / ZSPD) for an estimated arrival at 03:12AM CST https://t.co/JXsG05CGH3 #flightaware
",0
"1251194336638795776	@PapaAquuds I think they do, you just need the drivers
",0
"1251194341265203200	painting my nails listening to ribs life is good
",0
"1251194341156171776	@SpacePirate369 we leave that stuff to the retards (sweden)
",0
"1251194341223170048	20 More to 1.5k followers  Jldi se complete krdo naa pls ..  Follow back pkka..  Promote me ...  #AsimRapper
",0
"1251194341198106624	@RockyThaGreat Aye on the hood I had a trip planned May 1st I’m gonna risk it no lie 😂😂
",0
"1251194341164552197	@TheAkindare They are leaving because fair money refused to give loan anymore because of the lockdown. So people are going to carbon, money pal etc.
",0
"1251194341047046144	Sarawat wants to be a scrubb 💖
",0
"1251194341256724481	@realDonaldTrump He told you what to do didnt he big boy hahahahahaha president lol
",0
"1251194341189726213	It ruined my self esteem, etong eto yung sinabe sakin nung prof ko e Be careful w/ your words cuz you never know how long your words will stay in someone’s mind. Skl
",0
"1251194341286125568	the world is yours
",0
"1251194341231677443	@DrSundara3 @MHamza_90 sure it is, but this shot is looking really really bad, at first i thought again someone is trying to troll him.
",0
"1251194341122625537	Another very sad evening new. Let's hope it's  nearing the of this awful virus.
",0
"1251194340954779656	@darrenrovell times are tough enough right now without Directv charging customers for the @MLB extra innings package. https://t.co/jZNYe2uRe5
",0
"1251194341177069569	Trying to get home to see my dad on hospice because he couldn't go to chemo because he had an infection, couldn't get the infection taken care of because of covid at hospitals. Now I need to go to the dmv but they are by appointment 2 days a week and no openings till May 1st
",0
"1251194341328109572	zero new coronavirus cases in SF today. ZERO! thats huge
",0
"1251194341210587136	@RichieStewart79 @FoyleHospice @JoeDunn_Creggan @ByeByeBadman89 @CArchibald_SF @fiachramcg @emmettmcg18 Thanks buds. Great to be able to do it. Stay safe. 🙏🙏
",0
"1251194341218975744	WATCH LIVE NOW ⬇️
",0
"1251194341374255104	.@lindaholmes saying ""The overacting in [Melrose Place] is ree-markable."" has made my Friday. Thank you.
",0
"1251194341265149967	why tf the beaches first??? restaurants should be #1 cause I be hungryyyy
",0
"1251194341160292356	@HeshmatAlavi @inittowinit007 @drawandstrike @HNIJohnMiller @almostjingo @rising_serpent @SecStudiesGrp @ClareMLopez @steph93065 Obama knew. https://t.co/mfoKGO8AE6
",0
"1251194341244252164	@LF_Found @TaliesinEvitel @StreetFightr3rd @thehill @AOC That was actually a better answer than I was expecting.  What if the companies business model, can't afford to increase your pay based on the skill level of the work you are performing? Would you rather they fire you, and invest in a machine to automate the job?
",0
"1251194341382553600	@mimamsic Bc people were overly critical of our reputation
",0
"1251194341315543041	// The best conversations are at 3 am. I only got 3 hours of sleep but im trying to fix my sleep schedule so im fn tired rn
",0
"1251194345383919617	im tired of seeing this wheel game 🙄 lol &amp; ALSO just because im scared to play don’t mean i don’t have $100 🥴
",0
"1251194345144926209	@realDonaldTrump I'd prefer we liberate Minnesota from you. I couldn't be happier with how Gov. Walz is handling the pandemic. Can't say the same for you.
",0
"1251194345191100416	@SadPunkWidow Can you access some kind of telemedicine service to get referred for a test?   This is why we will need antibody tests for everyone. So many getting turned away for a test because there's either not enough or because of bs requirements. This is how this virus became widespread.
",0
"1251194344599621633	Streaming-first data architectures enable organizations to capture short-lived business value from these events by processing and analyzing event data as it is created and before it is stored https://t.co/kq5WY5qTYt @Equalum #bigdata #webinar #datascience #dataarchitecture https://t.co/QrrTBVcdt2
",0
"1251194344914247689	@colby_johnson1  #BatAppreciationDay Wuhan Colby Bat the only real bat out there https://t.co/9Nt5cTjnAO
",0
"1251194345249701889	@felixbiteme thats WHY he getting chased by the cops
",0
"1251194345413378048	Wow👏the thing drop and u scols not even say ""are u okay?""?! Wow look like nobody really dc abt me
",0
"1251194345375629315	@yeaitsjazz It probably is. Online or in class ?
",0
"1251194345342066694	@marygribbin809 @realDonaldTrump Still has to stand in the middle of Fifth Avenue,per his bragging claim.
",0
"1251194345367240704	@ArtCrunchy Instead of going after the footballers, why not ask what the Royal parasites have done?
",0
"1251194345270718470	@WholesomeGoomz Who is “ya” !? Lmfaoooo I don’t even eat yogurt because I don’t like the consistency/texture and you think I want someone else’s spit in my mouth !? No no no.
",0
"1251194345363066880	This was over Wii sports if you were wondering
",0
"1251194345446879233	@uwuqi23 There is a translate button that was one of the key points...
",0
"1251194345316810754	Bryan Robson looks like @RealBobMortimer Train Guy in this Man Utd tweet - https://t.co/SmcJQcA8BW
",0
"1251194345371373568	@SamsungIndia Is the Galaxy Fold Screen comes under warranty period? Screen got crack due to fell on the Floor. Can Physical Damage can cover in Warranty
",0
"1251194345354657792	@GoldTelegraph_ This guy is a clown. I’m so sick of economists talking about shit they fucked up as if they know how to fix it.
",0
"1251194345472098305	@code72hrs @Syphx_ @yungcalc Learn about the real world bud shut up
",0
"1251194344868061188	Utilize Old Point's mobile and online banking features to do tasks such as depositing a check or checking your balance. Have your children follow along with you and explain to them why and how you are completing the task. #FinancialLiteracyMonth #vabankers https://t.co/z1OLViXaTZ
",0
"1251194345409167366	@BSAUCEAMLIN @Ljulje @JSlackyy @NFL @Raiders @Patriots @CBSSportsNet Also, if the player has tucked the ball into his body and then loses possession, it is a fumble.  This rule was in effect from 1999 to 2013.  It was first ruled AGAINST the Patriots in week 2 of 2001, in the same game where Drew Bledsoe almost died.
",0
"1251194345417519107	But when he does try to hit when he’s frustrated I just have to give the mom look and he says sorry. 😂
",0
"1251194349414727681	@subashtpr @HRajaBJP What's your point Sir? Law  is acting in all cases as required. Pl don't mix up politics and Law. Condemn people attacking officials when on duty. India will go to top of the world
",0
"1251194348500398084	Between the rain drops, a ray of sunshine kisses the plumeria flowers.  #BellaVieDelray #airbnb #VRBO #downtowndelraybeach #evolvevacationrentals #staycationdelraybeach https://t.co/tmAotJsi0n
",0
"1251194348630429702	@dawn_reaper @Uber_Support Careful, they might shift the blame to you https://t.co/cEo7xW6CuV
",0
"1251194349515427849	@DKThomp For the rich, a dilemma: kidnap Wolfgang Puck or shred their own basil
",0
"1251194349414686721	Fair. Though I mean if we are talking scandals...@UKLabour @labourpress
",0
"1251194349393784835	I think everybody loves him. If only he could be our President, instead of the one we have. I'd vote for Cuomo in the blink of any eye.
",0
"1251194349385404420	@sexymama88932 hey and good morning, I’m a college student at UTSA and I believed in this one person who was giving away money and I got scammed into 650 dollars and I currently am negative on my bank account, I know it was dumb of me to believe in it but I was in a stressful
",0
"1251194349540519936	Job interview tips in the age of social distancing https://t.co/8VYoWCo4vn via @CareerBuilder #jobinterviews #jobseekers
",0
"1251194349578313729	@plugger_99 All your tweet be cheap Massa why can't you find something sensible to tweet??
",0
"1251194349070753794	*Me to chaiwala after the lockdown : https://t.co/dknE0O7Y1E
",0
"1251194349473484804	It’s alright though because we clap once a week !!!
",0
"1251194349448318981	@MillsTwitch Bruh it is 60 during the day here and low 20s or high teens at night. This sucks lol. Plus I'm still scrapping frost of my windshield in the morning.
",0
"1251194349607686147	@tasty Damn! I feel hungry to see this video late at night!
",0
"1251194349565759490	@AshaRangappa_ How can we reopen if we don't hace a strong supplyline for PPE, sanitizer, disinfectant? We have no way to stop the transmission.
",0
"1251194347426664453	Wear red on Fridays to show your support for all the people that are on the frontlines in hospitals and clinics! #WearRedBeProudNE #NebraskaStrong https://t.co/uBqjYWwQWT
",0
"1251194349620248578	@alexlobaloba You're just rebound for funke.....it's not love. Chiamaka is the real deal.
",0
"1251194349553057799	@leafceo @TheGrandOldGame Again though... You are in the hobby... 99%+ of the world's population is not. So we can always sell and find a buyer (for now) within our hobby.  Again it's not a linear comparison. The point being only ""we"" assign it a monetary worth and individualistic value.
",0
"1251194349569937410	@emptytunes @Nick_Carmody My mother was a narcissist. She would escalate with no top if you dared question her authority. I moved 5000 miles away but even then peace only really came after her death. Interesting note. She died because she was 100% sure she knew more than the doctors.
",0
"1251194349553057795	Dave is awesome. GaTa is definitely the best part. Can’t recommend enough.
",0
"1251194349590904833	@ShaunaAbney Wow! Good news maybe the President should say don’t take it !  We all know Democrats will push for the opposite Of whatever he says!  😂
",0
"1251194349704097796	@OnlyTheBishop Cut mine to bae 😍
",0
"1251194349578305538	There is no end ...#jrn447
",0
"1251194349028880384	been told that if i want to do any more than 7.5 hours worth of work (1 day rate) i will have to go INTO THE OFFICE https://t.co/gCWGPbkno9
",0
"1251194353663557632	@NyakwarWangah @EzekielKesenda1 @KBonimtetezi @BelAkinyii @Gideon_Kitheka The tangatangas are really trying hard to out words in Orengos mouth to sooth their ego. They are desperate
",0
"1251194353709658113	@keagan_g @RealPaigeWWE I'll happily 'learn' you how to use English mate... Can smell the desparation 😉
",0
"1251194353403465728	Speed Painting - Fantasy Self Portrait https://t.co/IqH9ifZNed via @YouTube  My daughter Florence Thornton's third video on YouTube.  She will release one a week for a year or at least until she starts Art school in September. #watercolor  #iamwriting #iampainting
",0
"1251194352770187273	DAY♡5:  I just learned to smile more~ The more I see him the more I wanna keep smiling~ @kaownah9 @kaownah_fanclub #ก้าวหน้าครับผม #9DaysWithKaownah https://t.co/5GwRnSIEul
",0
"1251194353088897024	Sketch from Day 4 of WFH – going for something more clean &amp; geometric  #digitalpainting #artistsontwitter https://t.co/BItSAU89AP
",0
"1251194352942145536	VIDEO: Stretch it out after the long week with neck and shoulder exercises from LVC athletic training professor Dr. Eva Frank https://t.co/x73F9TksIP #GoLVC https://t.co/ksGDD6kDvi
",0
"1251194353650991104	The project recently distributed packs of frozen food to residents of the Jakande community, in Lagos, courtesy of the talented Sympli Natural Nigeria.  #thefutureproject  #beatingcoronanigeria  #savethefuture
",0
"1251194353663520771	Temperature Checks at the Shoe Store? Social Distancing While Browsing for Handbags? https://t.co/J5OJU9UOGG
",0
"1251194353613180929	So cold.
",0
"1251194353801928711	Ever feel so unwanted and unlovable that the very idea of someone touching you at all makes you feel disgusting no just me okay
",0
"1251194353650933763	I am CRYING😂
",0
"1251194353642541057	Faucci 21January Nothing to Worry about #FireFaucci
",0
"1251194353709703175	@realDonaldTrump So if China’s numbers are higher. Your concern should be with the increasing numbers of cases and deaths in the USA
",0
"1251194353172844554	I took my thoughts to my journal and did a 10 day project of writing my thoughts down. I am being as transparent as I can be. ⁣ ⁣ 𝘎𝘳𝘢𝘣 𝘺𝘰𝘶𝘳 𝘤𝘰𝘱𝘺 https://t.co/bDe6Njv6mp https://t.co/oYG6086peJ
",0
